,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5519,13404,679304394291490960,The Mulberry Bangkok Khaosan Road (Deluxe Twin),320845302,The Mulberry Bangkok,Phra Nakhon,13.75963,100.49881,Private room,1556.0,1,9,1.97,6,362,9,0.008219178082191747,4667.999999999981,0.5603982406521189
5520,13405,679307253528417811,The Mulberry Bangkok Khaosan Road (Premium King),320845302,The Mulberry Bangkok,Phra Nakhon,13.75788,100.49952,Private room,1886.0,1,8,3.0,6,350,8,0.04109589041095896,28290.000000000036,0.5603982406521189
5521,13408,679420977552824376,Huai khwang Hotel Bed and Bar @MRT Culturalcenter,83715635,Wang,Din Daeng,13.77025,100.56865,Shared room,390.0,3,1,1.0,8,365,1,0.0,0.0,0.40780695945946244
5522,13413,669521541977744340,"BREEZING CANAL HOUSE, NEAR KHAOSAN ROAD",469098983,Supisara,Phra Nakhon,13.763242956707275,100.498298132279,Private room,913.0,1,23,4.83,2,312,23,0.14520547945205475,48388.999999999985,0.5603982406521189
5523,13420,669830131000409453,Lovely 1 bedroom condo with pool and sauna.,172290581,R,Khlong Toei,13.73342,100.56198,Private room,1212.0,1,0,0.0,4,358,0,0.019178082191780854,8484.000000000015,0.46137131030528616
5524,13421,669845746926900871,"Artist Double Space Studio, Near Khaosan Road",469098983,Supisara,Phra Nakhon,13.76214,100.49713,Private room,1656.0,1,17,3.72,2,353,17,0.0328767123287671,19871.999999999985,0.5603982406521189
5525,13425,670556876796505447,"1BR 36sqm.2min to BTS Bang Pho,Bang Sue Free Wi-Fi",263798252,Kongkapan,Bang Sue,13.8061047,100.5223715,Private room,826.0,30,2,0.51,1,330,2,0.09589041095890416,28910.000000000015,0.32351149456106876
5526,13426,670752898029353319,Spacious Room in Bangkok at Kaya Place,461147293,Zuzu,Thon buri,13.70156,100.48614,Private room,1376.0,1,0,0.0,20,365,0,0.0,0.0,0.5283619416135569
5527,13427,670753063396232909,Perfect Suite for 6 in Bangkok @ Baan Tanwa,461147293,Zuzu,Din Daeng,13.79798,100.57081,Private room,3763.0,1,0,0.0,20,0,0,1.0,1373495.0,0.40780695945946244
5528,13430,670880794679672039,Studio Twin Bed  - ( Room Only ),97269224,Ken,Bang Rak,13.7185,100.51832,Private room,3586.0,1,0,0.0,5,364,0,0.002739726027397249,3585.9999999999854,0.4183083796413036
